neighborhood,mean_price,median_price,price_stddev,sales_count
StoneBr,329675.7368421053,322450.0,128597.7382115178,38
NridgHt,322831.3524590164,317500.0,92964.83576755227,122
NoRidge,316294.125,300750.0,67015.94765224711,48
GrnHill,280000.0,280000.0,70710.67811865476,2
Veenker,253570.58823529413,260000.0,69147.64786948543,17
ClearCr,217490.07407407407,225000.0,53479.942309046266,27
Somerst,227183.9,224000.0,55518.61782200537,130
Timber,241051.35416666666,220000.0,70247.20330512131,48
CollgCr,202497.21666666667,200000.0,54022.918602141246,180
Crawfor,205901.21126760563,199500.0,60856.73850913318,71
Blmngtn,200417.68181818182,192250.0,27447.004921842632,22
Greens,188666.66666666666,190000.0,18036.999011291573,3
NWAmes,194619.02298850575,185000.0,39628.08113498969,87
SawyerW,187760.16091954024,181000.0,50508.25498334085,87
Gilbert,189228.3879310345,180750.0,32434.06950878003,116
